fplId,webName,position,team_fpl_id,team,nowCost,status,chanceOfPlayingNextRound,news,newsAddedAt,removed,form,pointsPerGame,epNext,epThis,expectedGoalsPer90,expectedAssistsPer90,expectedGoalsConcededPer90,defensiveContributionPer90,savesPer90,startsPer90,penaltiesOrder,directFreekicksOrder,cornersOrder,seasonMinutes,seasonStarts,updatedAt
115,De Cuyper,DEF,5,BHA,46,a,,,,f,17.00,17.00,1.90,1.90,1.72,0.25,0.34,4.68,0.00,1.170,,4,2,77,1,2026-08-26 14:15:00.874
116,Dunk,DEF,5,BHA,45,a,,,,f,6.00,6.00,1.70,1.70,0.00,0.04,0.29,2.00,0.00,1.000,,3,,90,1,2026-08-26 14:15:00.875
117,Coppola,DEF,5,BHA,45,a,,,,f,0.00,0.00,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.876
118,Igor,DEF,5,BHA,45,a,,,,f,0.00,0.00,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.877
119,Costinha,DEF,5,BHA,45,a,,,,f,1.00,1.00,1.70,1.70,0.42,0.00,0.35,13.85,0.00,0.000,,,,26,0,2026-08-26 14:15:00.878
120,Svoboda,DEF,5,BHA,50,a,,,,f,0.00,0.00,2.20,2.20,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.879
121,Mitoma,MID,5,BHA,60,i,0,Hamstring injury - Unknown return date,2026-07-24 18:30:10.661,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.88
122,Minteh,MID,5,BHA,60,i,0,Leg injury - Expected back 28 Nov,2026-08-14 18:00:06.418,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,5,0,0,2026-08-26 14:15:00.881
123,Hinshelwood,MID,5,BHA,60,a,,,,f,16.00,16.00,2.20,2.20,2.01,0.03,0.27,4.29,0.00,1.430,,,,63,1,2026-08-26 14:15:00.882
124,Groß,MID,5,BHA,55,a,,,,f,2.00,2.00,2.00,2.00,0.00,0.27,0.29,5.00,0.00,1.000,1,1,1,90,1,2026-08-26 14:15:00.883
125,Georginio,FWD,5,BHA,55,a,,,,f,5.00,5.00,1.80,1.80,0.08,0.44,0.29,7.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.884
126,O'Riley,MID,5,BHA,55,a,,,,f,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.000,3,,,0,0,2026-08-26 14:15:00.885
127,Gomez,MID,5,BHA,50,a,,,,f,6.00,6.00,1.50,1.50,0.19,0.51,0.31,6.35,0.00,1.060,,5,,85,1,2026-08-26 14:15:00.886
128,Buonanotte,MID,5,BHA,50,u,0,Has joined Elche on loan for the rest of the season,2026-08-10 14:03:07.561,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.887
129,Ayari,MID,5,BHA,55,a,,,,f,2.00,2.00,2.00,2.00,0.16,0.04,0.27,5.71,0.00,1.430,,2,4,63,1,2026-08-26 14:15:00.888
130,Wieffer,DEF,5,BHA,50,a,,,,f,7.00,7.00,2.20,2.20,0.11,0.06,0.34,9.35,0.00,1.170,,,,77,1,2026-08-26 14:15:00.889
131,Baleba,MID,16,MUN,50,i,0,Ankle injury - Unknown return date,2026-08-06 16:00:10.997,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:01.577
132,Howell,MID,5,BHA,45,u,0,Has joined Leicester City on loan for the rest of the season,2026-08-17 13:53:19.019,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.89
133,Watson,MID,5,BHA,50,u,0,Has joined Leicester City on loan for the rest of the season,2026-08-03 14:05:44.459,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.891
134,Oriola,MID,5,BHA,45,a,,,,f,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.892
135,Yohanna,MID,5,BHA,50,a,,,,f,1.00,1.00,1.50,1.50,0.00,0.22,0.00,0.00,0.00,0.000,,,,12,0,2026-08-26 14:15:00.894
136,Welbeck,FWD,6,CHE,60,a,100,,2026-08-20 14:00:07.949,f,0.00,0.00,2.00,1.50,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.911
137,Tzimas,FWD,5,BHA,55,i,0,Knee injury - Unknown return date,2026-07-23 12:01:23.432,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.894
